set instance crossover population_size success_percentage evaluations_median percentile10 percentile50 percentile90
A n0000012i00 UniformCrossover 500 1.0 1047.5 404.40000000000003 1047.5 1534.9
A n0000012i01 UniformCrossover 500 1.0 1146.0 135.6 1146.0 2030.1
A n0000012i02 UniformCrossover 500 1.0 1048.0 22.300000000000004 1048.0 1777.6000000000001
A n0000012i03 UniformCrossover 500 1.0 1057.5 256.3 1057.5 1512.7
A n0000012i04 UniformCrossover 500 1.0 1146.0 238.20000000000005 1146.0 1606.2
A n0000012i05 UniformCrossover 500 1.0 990.0 58.5 990.0 1515.0000000000002
A n0000012i06 UniformCrossover 500 1.0 1148.0 79.30000000000001 1148.0 1795.7
A n0000012i07 UniformCrossover 500 1.0 1077.5 243.0 1077.5 1761.9000000000003
A n0000012i08 UniformCrossover 500 1.0 1117.0 227.80000000000004 1117.0 1930.2000000000003
A n0000012i09 UniformCrossover 500 1.0 1247.5 231.70000000000002 1247.5 1835.2
A n0000012i00 OnePointCrossover 500 1.0 1188.0 343.0000000000001 1188.0 2041.3
A n0000012i01 OnePointCrossover 500 1.0 1096.0 242.8 1096.0 1903.0000000000002
A n0000012i02 OnePointCrossover 500 1.0 1398.5 426.10000000000014 1398.5 2109.2
A n0000012i03 OnePointCrossover 500 1.0 918.5 166.1 918.5 1542.1999999999998
A n0000012i04 OnePointCrossover 500 1.0 1246.5 242.30000000000004 1246.5 2571.0
A n0000012i05 OnePointCrossover 500 1.0 920.0 44.3 920.0 1571.8000000000002
A n0000012i06 OnePointCrossover 500 1.0 1252.0 73.0 1252.0 1674.6000000000001
A n0000012i07 OnePointCrossover 500 0.9333333333333333 1563.5 166.10000000000002 1563.5 2388.7000000000007
A n0000012i08 OnePointCrossover 500 1.0 1121.5 392.0 1121.5 1651.8999999999999
A n0000012i09 OnePointCrossover 500 1.0 1301.0 142.20000000000002 1301.0 2525.1
